id,name,aka,city,lat,lng,cause_areas,tier,org_type,founded,key_people,website,careers_url,funding,description,remote_note,confidence,verify,sources,relationships,country
sinergia,Sinergia Animal,,Remote (HQ: distributed),,,Animal welfare & food systems,4,ngo,,,https://www.sinergiaanimal.org,,,Corporate campaigns in Global South + some European work.,"Remote, campaign-country-leaning; verify EU roles",low,Confirm the European workstream and EU-remote hiring; add a source URL,,,
leep,Lead Exposure Elimination Project (LEEP),,Remote (HQ: distributed),,,Global health & development,4,ngo,,,https://leadelimination.org,,,AIM-incubated charity against childhood lead poisoning; a poster child of cost-effective policy advocacy.,"Remote-first, distributed team incl. Europe",medium,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://forum.effectivealtruism.org/posts/aj4PQaLqSMWffyhFD/ea-landscape-in-the-uk,,
givedirectly,GiveDirectly,,Remote (HQ: US/global),,,Global health & development,4,ngo,,,https://www.givedirectly.org,https://www.givedirectly.org/careers/,,Unconditional cash transfers; GiveWell-recommended.,Global org; many roles remote or in program countries; EU-friendly roles exist — verify per role,medium,,,,
malaria-consortium,Malaria Consortium,,Remote (HQ: London),,,Global health & development,4,ngo,,,https://www.malariaconsortium.org,,,Runs GiveWell's top-rated seasonal malaria chemoprevention programme.,London HQ + program countries; most roles NOT remote-EU; listed because of GiveWell status,medium,,,,
1day-sooner,1Day Sooner,,Remote (HQ: distributed),,,Biosecurity & pandemic preparedness,4,ngo,,,https://www.1daysooner.org,,,Advocacy for human challenge trials and faster medical countermeasures.,"Remote, distributed",medium,,,,
alfed,ALLFED (Alliance to Feed the Earth in Disasters),,Remote (HQ: distributed),,,Biosecurity & pandemic preparedness; Climate,4,research,,,https://allfed.info,,,"Research on resilient foods for global catastrophes (nuclear winter, etc.).","Fully remote, global volunteers + staff",medium,,,,
hli,Happier Lives Institute,,Remote (HQ: distributed),,,Mental health; Effective giving & meta,4,research,,,https://www.happierlivesinstitute.org,,,Research on wellbeing-based charity evaluation (e.g. StrongMinds analysis) — the main EA mental-health research org.,"Remote; ANBI-registered in NL (RSIN 828292875) since July 2026 — a tax status, not a Dutch office",high,No NL office/city claimed despite the ANBI status — recheck if they open one,https://www.happierlivesinstitute.org/; https://www.happierlivesinstitute.org/2026/07/13/hli-is-now-a-registered-anbi-in-the-netherlands/,,
owid,Our World in Data,,Remote (HQ: Oxford),,,Global health & development; Effective giving & meta,4,research,,,https://ourworldindata.org,https://ourworldindata.org/jobs,,Data publication used across EA; Oxford-based charity (Global Change Data Lab).,Remote within ~UK-overlapping timezones for many roles — CET works; verify per role,medium,,,,
ea-netherlands,Effectief Altruïsme Nederland,EA Netherlands; EAN,Amsterdam (national),52.3892,4.8919,Community building; Effective giving & meta; Careers & talent,1,community,2017,James Herbert (co-director); Lisa Gotoh (board chair),https://effectiefaltruisme.nl,https://effectiefaltruisme.nl/vrijwilliger,"CEA Community Building Grants, EA Infrastructure Fund, EAGx event funding","National EA umbrella foundation (RSIN 857171367) supporting ~750 active members and ~16 local and university groups; runs intro courses, a career guide, EAGx events and an Amsterdam co-working space.",,high,Founding date (Jan 2017) from a secondary source — confirm via KvK; confirm co-director staffing for 2026,https://effectiefaltruisme.nl; https://forum.effectivealtruism.org/posts/22HhT9n2ZzCnyCmDj/ea-netherlands-2025-in-review-and-plans-for-2026,ea-belgium:sister_org,NL
geefrevolutie,De Geefrevolutie,Tien Procent Club (until July 2026),Amsterdam,52.37,4.895,Effective giving & meta; Community building,1,community,2022,"Jochem Wieringa (chair), Pepijn Vloemans (secretary), Jeroen Brouwers (treasurer)",https://www.geefrevolutie.nl/,,"Open Philanthropy (now Coefficient Giving) grant of $210,000 (announced 21 June 2025; funded two full-time hires); ANBI-registered, volunteer-run","Dutch community of effective givers (members pledge ~10% of income to effective charities), founded 2022 as the Tien Procent Club and renamed De Geefrevolutie in July 2026; pledge meetups, workshops and webinars across the Netherlands.",,high,Founding year from secondary source — confirm via KvK/ANBI register,https://www.geefrevolutie.nl/; https://tienprocent.substack.com/p/de-tien-procent-club-verandert-van; https://coefficientgiving.org/research/reflecting-on-our-recent-effective-giving-rfp/; https://tienprocent.substack.com/p/we-hebben-een-open-philantrophy-grant,effectief-geven:sister_org,NL
sma-amsterdam,The School for Moral Ambition (Amsterdam HQ),SMA,Amsterdam,52.365,4.9,Careers & talent; Animal welfare & food systems; Effective giving & meta,1,talent_program,2024,"Rutger Bregman, Jan-Willem van Putten, Julia van Boven, Harald Dunnink, Ruben Timmerman (co-founders)",https://www.moralambition.org,https://www.moralambition.org/jobs,Philanthropic foundations (e.g. Gambrell Foundation) and individuals; all royalties from Bregman's book Moral Ambition; no government or corporate funding,"Global headquarters of the Dutch stichting behind the Moral Ambition fellowships and circles: 38 fellows placed in 30 organisations and a 25,000+ member community, run from Amsterdam alongside the Brussels and New York offices.",,high,Exact Amsterdam address via KvK; whether any Coefficient Giving grant exists (not confirmed this round),https://www.moralambition.org/about-us; https://en.wikipedia.org/wiki/The_School_for_Moral_Ambition,sma:same_organisation,NL
effective-environmentalism,Effective Environmentalism,,Amsterdam (hosted by EA Netherlands),52.388,4.889,Climate; Community building; Effective giving & meta,1,community,,Coordinators not published; operated with EA Netherlands staff support,https://effectiveenvironmentalism.org,,Meta Charity Funders (primary funder); legally hosted by Stichting Effectief Altruïsme Nederland,"Evidence-based community and resource hub for high-impact climate action (charity recommendations, career guidance, global Slack community), revived in 2025 and operated from Amsterdam under EA Netherlands' legal entity.",,medium,Whether it stays a programme of EAN or incorporates separately; coordinator names; original founding year,https://effectiveenvironmentalism.org; https://forum.effectivealtruism.org/posts/22HhT9n2ZzCnyCmDj/ea-netherlands-2025-in-review-and-plans-for-2026,ea-netherlands:hosted_by,NL
pise-rotterdam,Positive Impact Society Erasmus (PISE),EA Rotterdam / EA Erasmus University,Rotterdam,51.917,4.463,Community building; Careers & talent,1,community,,Rotating student executive board,https://piserotterdam.com,,Student association; EA university-group support typical but not confirmed,"EA student association at Erasmus University Rotterdam (recognised by the university since 2024, ~30 members) running intro fellowships, book clubs and impact-career events — the most formalised of the ~16 Dutch local EA groups.",,medium,Founding year (~2020-21); whether registered as a vereniging; current board,https://piserotterdam.com/; https://forum.effectivealtruism.org/groups/moYM5pWBfxXxXrvx8,ea-netherlands:member_of,NL
existential-risk-observatory,Existential Risk Observatory,ERO,Amsterdam,52.373,4.892,AI safety & governance; Emerging tech governance,1,think_tank,2021,"Otto Barten (founder & director); Nik Samoylov (senior campaigner; Campaign for AI Safety, merged in 2024); Joep Sauren (treasurer); Marko van der Wal (secretary); researchers Hugo Save, Raymond Koopmanschap, Soumya Sankar; Sue Anne Wong (policy)",https://www.existentialriskobservatory.org,,Long-Term Future Fund (EA Funds) grant plus a major individual donation (announced Jan 2024); initially founder-funded,"Amsterdam foundation working to reduce human extinction risk by informing the public debate: mainstream-media outreach, conferences and policy work, including the Conditional AI Safety Treaty proposal (TIME, Nov 2024; paper Mar 2025).",,high,"Team/funders taken from Wayback snapshots (home 2026-06-04, donations post 2024-01-31) — the site blocks live fetches; recheck for newer funders",https://www.existentialriskobservatory.org; https://forum.effectivealtruism.org/posts/kK9WfSr52hwqhHXHp/introducing-the-existential-risk-observatory; https://time.com/7171432/conditional-ai-safety-treaty-trump/; http://web.archive.org/web/20260604232734/https://www.existentialriskobservatory.org/; http://web.archive.org/web/20240131162220/https://www.existentialriskobservatory.org/nl/geencategorie/nieuwe-donaties-aan-existential-risk-observatory/,,NL
pauseai,PauseAI,Stichting PauseAI (KVK 92951031),Utrecht,52.0907,5.1214,AI safety & governance; Community building,1,ngo,2023,Joep Meindertsma (founder),https://pauseai.info,https://pauseai.info/vacancies,Donations; paid roles exist; funders not itemised,Global advocacy movement founded May 2023 in Utrecht (legally a Dutch stichting) campaigning for an international pause on training the most powerful AI systems until safety is guaranteed; runs protests worldwide and national chapters.,,high,Registered office city via KVK 92951031,https://pauseai.info; https://en.wikipedia.org/wiki/PauseAI,,NL
safe-ai-netherlands,Safe AI Netherlands,SAIN,"National (chapters in Amsterdam, Utrecht, Groningen)",52.375,4.9,AI safety & governance; Community building,1,community,2026,Founders not named on site; collaborates with ENAIS,https://safeainetherlands.org,,Not disclosed,"National umbrella organisation for AI safety in the Netherlands, formed in 2026 out of the AI Safety Initiative Groningen (founded 2023). Runs local chapters in Groningen, Amsterdam and Utrecht that each operate autonomously while sharing national resources, branding and legal infrastructure, delivering technical AI safety and AI governance courses, research support and community building.",,high,"Legal form (stichting?), founders and funders are still not published — ask directly",https://safeainetherlands.org/; https://safeainetherlands.substack.com/p/introducing-safe-ai-netherlands-sain,sain-groningen:has_chapter; sain-utrecht:has_chapter; sain-amsterdam:has_chapter,NL
dnais,Dutch Network for AI Safety,DNAIS,Netherlands-wide (base city unverified),52.36,4.885,AI safety & governance; Community building,1,community,,Gergő Gáspár (ENAIS co-director; listed at DNAIS on LinkedIn); other organisers not named,https://www.dnais.co,,Not disclosed,"Professional network for frontier AI safety and governance in the Netherlands; membership requires paid work in the field. Runs a members' community, themed meetups and open events, partnering with Safe AI Netherlands on upskilling. Details are from its own site and unverified.",,low,"Base city (map pin is a placeholder at Amsterdam), legal form and founding date not published anywhere found (site, directories, LinkedIn — Aug 2026); run in collaboration with ENAIS per aisafety.com — ask organisers directly",https://www.dnais.co/; https://aisafety.com/communities,,NL
sain-amsterdam,SAIN Amsterdam,"AISA (AI Safety Amsterdam, until 2026)",Amsterdam (University of Amsterdam),52.355,4.955,AI safety & governance; Community building,1,community,,"Ana Paula Castillo Rodriguez & Andreea Ioana Chivu (co-directors), Patrik Bartak (advisor, per legacy AISA site)",https://safeainetherlands.org/chapters/amsterdam,,Supported by ELLIS Unit Amsterdam (per legacy AISA site); other funding not disclosed,"Amsterdam chapter of Safe AI Netherlands, formerly AI Safety Amsterdam (AISA), affiliated with the University of Amsterdam and supported by the ELLIS Unit Amsterdam. Community of students, researchers and professionals across UvA, VU Amsterdam and the Amsterdam tech ecosystem; runs BlueDot Technical AI Safety and Frontier AI Governance courses (70+ participants), weekly discussion groups, hackathons and research projects.",,high,Founding year as AISA; whether aisafetyamsterdam.org (still presenting AISA as standalone) will redirect or be retired,https://safeainetherlands.org/chapters/amsterdam; https://aisafetyamsterdam.org/about/; https://aisafety.com/communities,safe-ai-netherlands:chapter_of,NL
delft-ai-safety,Delft AI Safety Initiative,DAISI,Delft,52.0116,4.3571,AI safety & governance; Community building,1,community,2023,Organisers not named on site,https://delftaisafety.org,,Not disclosed,"TU Delft student group (founded early 2023) reducing AI risk through AI Safety Fundamentals reading groups, hackathons, research projects and career mentoring.",,medium,Current (2025/26) activity level — site content largely dates from 2023,https://delftaisafety.org; https://aisafety.com/communities,,NL
tilburg-ai-safety,Tilburg AI Safety Initiative,TAISI (run under EA Tilburg),Tilburg,51.5606,5.0919,AI safety & governance; Community building,1,community,,Run by the EA Tilburg student board,https://www.eatilburg.nl/ai-safety-initiative,,Not disclosed,Tilburg University student initiative running an 8-week in-person AI Governance Fellowship (BlueDot-style curriculum); technical participants are directed to the Eindhoven alignment programme.,,medium,2025/26 cohort activity; degree of independence from EA Tilburg,https://www.eatilburg.nl/ai-safety-initiative; https://aisafety.com/communities,ea-tilburg:hosted_by,NL
wakker-dier,Wakker Dier,Stichting Wakker Dier,Amsterdam,52.368,4.91,Animal welfare & food systems,2,ngo,1997,Anne Hilhorst (director),https://www.wakkerdier.nl,https://www.wakkerdier.nl/over-wakker-dier/vacatures/,"Donor-funded (CBF-recognised); Open Philanthropy grant of €890,600 (2024, farm-animal-welfare litigation)","Dutch farmed-animal campaigning organisation working to end factory farming via supermarket and company pressure campaigns (battery cages, 'plofkip') and, since 2024, strategic litigation; twice on ACE's considered-charities shortlist.",,high,OP grant amount seen via indexed grant text (page redirects post-rebrand); confirm current director,https://www.wakkerdier.nl; https://www.openphilanthropy.org/grants/wakker-dier-farm-animal-welfare-litigation-2024/; https://animalcharityevaluators.org/charity-reviews/evaluating-charities/process-archive/2022-evaluation-process/considered-charities/,,NL
proveg-nederland,ProVeg Nederland,Viva Las Vega's (2011-2017),Utrecht,52.093,5.117,Animal welfare & food systems; Climate,1,ngo,2011,"Pablo Moleman (co-founder/strategy), Joey Cramer (operational director)",https://proveg.org/nl/,https://proveg.org/nl/sluit-je-aan-bij-ons-team/,Donor- and foundation-funded independent stichting within the ProVeg International network,"Utrecht-based food-systems advocacy stichting accelerating the shift to plant-based food via corporate outreach, the Veggie Challenge and campaigns; explicitly operates on effective-altruism principles, basing campaigns on research and impact.",,high,Current ACE standing of the ProVeg network (delisted 2019 per Wikipedia); funding mix,https://en.wikipedia.org/wiki/ProVeg_Nederland; https://proveg.org/nl/,proveg-belgium:same_network,NL
varkens-in-nood,Varkens in Nood,Stichting Varkens in Nood,Amsterdam,52.364,4.888,Animal welfare & food systems,2,ngo,1997,"Frederieke Schouten (director since 2020, former intensive-livestock veterinarian); founded by J.J. Voskuil and Hans Baaij",https://www.varkensinnood.nl,https://www.varkensinnood.nl/vacatures,"Donor- and foundation-funded, no government subsidy; CBF-certified","Single-species organisation founded during the 1997-98 swine-fever crisis to end the suffering of pigs in intensive farming — exposés, lawsuits (incl. the EU 'Varkens in Nood' access-to-justice ruling) and policy advocacy; ACE considered-charities shortlist 2021.",,high,Founding year 1997 confirmed (own FAQ + Wikipedia NL); city inferred from sister-org co-location — confirm address via KVK,https://www.varkensinnood.nl/over-varkens-in-nood; https://animalcharityevaluators.org/charity-reviews/evaluating-charities/process-archive/2021-evaluation-process/considered-charities/; https://www.varkensinnood.nl/faq,dier-en-recht:sister_org,NL
dier-en-recht,Dier&Recht,Stichting Dier en Recht,Amsterdam,52.3645,4.8885,Animal welfare & food systems,3,ngo,2006,"Team of lawyers, veterinarians and animal-behaviour experts; shares leadership ties with Varkens in Nood",https://www.dierenrecht.nl,https://www.dierenrecht.nl/over-dier-en-recht/vacatures/,"Donor- and foundation-funded, explicitly no government subsidy","Amsterdam legal-advocacy stichting founded out of Varkens in Nood, combining litigation, political advocacy and campaigns on veal calves, dairy, horses and harmful dog/cat breeding; Eurogroup for Animals member.",,high,Current director; distinct from Animal Rights (BE+NL) — different organisation,https://www.dierenrecht.nl/over-dier-en-recht/; https://www.eurogroupforanimals.org/who-we-are/our-members,varkens-in-nood:sister_org; eurogroup-animals:member_of,NL
cellular-agriculture-nl,Cellular Agriculture Netherlands,Stichting Cellulaire Agricultuur Nederland,Netherlands (office city unpublished),52.35,4.88,Animal welfare & food systems; Climate,3,ngo,2021,"Maresa Oosterman (chair), Tim van de Rijdt (treasurer); board incl. Ira van Eelen, Rene Wijffels",https://en.cellulaireagricultuur.nl,,"Dutch National Growth Fund finances its Growth Plan (reported ~€60M for the national cellular-agriculture ecosystem — figure from press, not the foundation's own pages)","Foundation building the Dutch cultivated-meat and precision-fermentation ecosystem across education, research, scale-up facilities and innovation, connecting 45+ organisations; selected to execute the National Growth Fund cellular-agriculture programme, per press reports.",,low,"Office city unpublished (map pin is a placeholder at Amsterdam); €60M figure only in press snippets; no EA funding link (EA Animal Welfare Fund funded analogous CellAg orgs abroad, not this one)",https://en.cellulaireagricultuur.nl/; https://www.greenqueen.com.hk/netherlands-60-million-cellular-agriculture/,,NL
vissenbescherming,Vissenbescherming,Stichting Vissenbescherming,The Hague,52.0705,4.3007,Animal welfare & food systems,2,ngo,2000,,https://www.vissenbescherming.nl,,Small donor-funded stichting,"Dutch aquatic-animal welfare foundation advocating at Dutch and EU level for fish, shrimp, lobsters and crabs — highly neglected EA-priority animals; twice on ACE's considered-charities shortlist (2021, 2022).",,medium,"Staff size, leadership and budget; whether any paid roles exist (declined ACE's 2021 review for capacity reasons)",https://www.vissenbescherming.nl/; https://animalcharityevaluators.org/charity-reviews/evaluating-charities/process-archive/2022-evaluation-process/considered-charities/,eurogroup-animals:member_of,NL
eyes-on-animals,Eyes on Animals,EonA,Amsterdam,52.372,4.9,Animal welfare & food systems,3,ngo,2008,Lesley Moffat (founder & director),https://www.eyesonanimals.com,,Donor-funded; office space donated,"Amsterdam-based team inspecting farmed-animal transports, markets, farms and slaughterhouses across Europe, and training police, drivers and slaughter personnel in humane handling — a pragmatic, industry-engaging welfare model in a neglected niche.",,medium,Founding year (2008 vs 2009 across sources); team size,https://www.eyesonanimals.com/about-eyes-on-animals/,,NL
tapp-coalition,TAPP Coalition,True Animal Protein Price Coalition / Stichting TAPP Coalitie,Driebergen-Rijsenburg,52.0533,5.2789,Animal welfare & food systems; Climate,3,ngo,,"Jeroom Remmers (director), Prof. Andre Nollkaemper (board chair)",https://tappcoalition.eu,,"Triodos Foundation, Jeremy Coller Foundation, Gieskes-Strijbis Fonds; ANBI status","Dutch foundation advocating true pricing of meat and dairy (a 'fair meat price' with revenues recycled to farmers and cheaper produce), taken up in Dutch ministerial studies and EU Parliament discussion; coalition of 80+ partner organisations.",,medium,Founding year (~2019); current vacancies,https://tappcoalition.eu/about-us-4633779,,NL
one-acre-stichting,One Acre Stichting,One Acre Fund Netherlands,The Hague,52.078,4.31,Global health & development,2,ngo,,"Robert Amelung (chair), Tim Diphoorn (Europe Director of Business Development)",https://oneacrefund.org/about-us/our-organization/one-acre-stichting-netherlands,https://oneacrefund.org/careers/locations,Individual and institutional donors across Europe (ANBI-registered fundraising entity),"Dutch fundraising office (Fluwelen Burgwal 58, The Hague) of One Acre Fund, which equips East and Southern African smallholder farmers with financing, inputs and training; One Acre Fund is recommended by The Life You Can Save.",,high,Stichting founding year,https://oneacrefund.org/about-us/our-organization/one-acre-stichting-netherlands; https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,,NL
iavi-europe,IAVI Europe (Amsterdam office),International AIDS Vaccine Initiative,Amsterdam,52.385,4.893,Biosecurity & pandemic preparedness; Global health & development,3,research,1996,"Amsterdam + London multidisciplinary team (advocacy, epidemiology, immunology, access)",https://www.iavi.org/europe,https://www.iavi.org/careers,"CEPI, Wellcome, EDCTP, government and philanthropic donors","European office (Van Diemenstraat 48, Amsterdam) of the global nonprofit developing vaccines and antibodies for HIV, TB and emerging infectious diseases, including CEPI/Wellcome-funded Lassa fever vaccine work — genuine pandemic-preparedness R&D.",,high,Office headcount; no EA-aligned funding (CEPI/Wellcome are mainstream global-health funders),https://www.iavi.org/europe/; https://cepi.net/cepi-partners-international-aids-vaccine-initiative-advance-lassa-fever-vaccine-development,,NL
ikea-foundation,IKEA Foundation,Stichting IKEA Foundation,Leiden,52.1601,4.497,Climate; Global health & development; Effective giving & meta,3,funder_advisor,1982,Jessica Anderen (CEO),https://ikeafoundation.org/,https://ikeafoundation.org/vacancies/,Endowed by INGKA Foundation; grants ~€200M/year (~€3bn to date),"Leiden-based philanthropic funder focused on climate-change mitigation and family incomes; a funder of GiveDirectly's refugee cash-transfer programme, though its broader grantmaking is mainstream strategic philanthropy rather than EA-style evaluation.",,high,Confirm the GiveDirectly grant relationship is current,https://ikeafoundation.org/; https://en.wikipedia.org/wiki/IKEA_Foundation,,NL
access-to-medicine,Access to Medicine Foundation,Stichting Access to Medicine Foundation,Amsterdam,52.36,4.9,Global health & development,3,research,,,https://accesstomedicinefoundation.org/,,"Gates Foundation, Wellcome Trust, UK and Dutch governments, Helmsley Charitable Trust",Amsterdam nonprofit producing evidence-based research (the Access to Medicine Index) that pushes pharmaceutical companies to expand access to essential healthcare products in low- and middle-income countries.,,medium,Founding year; no EA-aligned funder link confirmed,https://accesstomedicinefoundation.org/who-we-are/funders,,NL
pdpc,Pandemic & Disaster Preparedness Center,PDPC,"Rotterdam (Erasmus MC, with TU Delft & EUR)",51.911,4.468,Biosecurity & pandemic preparedness,3,research,2021,"Joint Erasmus MC (Viroscience), TU Delft and Erasmus University Rotterdam centre",https://www.erasmusmc.nl/en/research/departments/viroscience/articles/pandemic-disaster-preparedness-center-opened,,University consortium (Convergence) + Gemeente Rotterdam,"Academic research centre combining Erasmus MC virology (high-risk pathogens), TU Delft engineering and EUR social science to study future outbreaks and disaster resilience — pandemic preparedness beyond routine public health.",,medium,No EA funding link; biosecurity relevance rests on Erasmus MC Viroscience's high-risk-virus work,https://www.erasmusmc.nl/en/research/departments/viroscience/articles/pandemic-disaster-preparedness-center-opened,,NL
ea-delft,EA Delft,,Delft,52.0116,4.3571,Community building; Careers & talent,1,community,,,https://eadelft.org/,,,"Local effective altruism group at Delft University of Technology. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-eindhoven,EA Eindhoven,,Eindhoven,51.4416,5.4697,Community building; Careers & talent,1,community,,,https://www.tue.nl/en/our-university/community/effective-altruism-eindhoven,,,"Local effective altruism group at Eindhoven University of Technology. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person; the group's own domain eaeindhoven.nl returns 404 — this is its TU/e page,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-tilburg,EA Tilburg,,Tilburg,51.5555,5.0913,Community building; Careers & talent,1,community,,,https://www.eatilburg.nl/,,,"Local effective altruism group at Tilburg University. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of; tilburg-ai-safety:hosts,NL
ea-leiden,EA Leiden,,Leiden,52.1601,4.497,Community building; Careers & talent,1,community,,,https://www.ealeiden.org/,,,"Local effective altruism group at Leiden University. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-amsterdam,EA Amsterdam,,Amsterdam,52.3676,4.9041,Community building; Careers & talent,1,community,,,https://linktr.ee/eaamsterdam,,,"Local effective altruism group at University of Amsterdam. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-the-hague,The Hague EA (THEA),,The Hague,52.0705,4.3007,Community building; Careers & talent,1,community,,,https://www.thehagueea.org/,,,"Local effective altruism group at Leiden University College The Hague. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-nijmegen,EA Nijmegen,,Nijmegen,51.8126,5.8372,Community building; Careers & talent,1,community,,,https://forum.effectivealtruism.org/groups/gsNwQYwQaJcD3aAdF,,,"Local effective altruism group at Radboud University Nijmegen. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,low,Own site eanijmegen.nl returned 404 on 2026-08-11 (both root and /about) — group may be dormant. Website field points at its EA Forum group page instead. Confirm the group is still running before promoting it,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-roosevelt,EA Roosevelt,,Middelburg,51.4988,3.6136,Community building; Careers & talent,1,community,,,https://www.instagram.com/ea.roosevelt/,,,"Local effective altruism group at University College Roosevelt. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
ea-zwolle,EA Zwolle,,Zwolle,52.5168,6.083,Community building; Careers & talent,1,community,,,https://linktr.ee/EAzwolle,,,"Local effective altruism group at Windesheim University of Applied Sciences. Runs introductory fellowships, reading and discussion groups, talks and socials for students and locals exploring high-impact careers and giving. Listed in the EA Netherlands group directory.",,medium,Confirm the group is still active in the 2026/27 academic year and name a contact person,https://effectiefaltruisme.nl/en/join-a-group,ea-netherlands:member_of,NL
impact-lab-amsterdam,Impact Lab Amsterdam,,Amsterdam,52.3676,4.9041,Effective giving & meta; Global health & development,1,research,,Prof. dr. Paul Smeets (founder and director),https://www.impactlab.amsterdam/,,Philanthropic donations via the Amsterdam University Fund (ANBI); NWO Vidi grant; contributions from evaluated charities,"Research lab at the University of Amsterdam studying extraordinary charitable impact: it evaluates interventions with the potential to be far more cost-effective than the average charity in their cause area, and studies what actually persuades donors to give to the most effective options. Focused on global health, extreme poverty and gender equality in low-income countries.",,high,Founding year; whether the lab hires outside standard university vacancy channels,https://www.impactlab.amsterdam/; https://www.impactlab.amsterdam/team; https://www.folia.nl/en/actueel/167008/new-research-lab-at-the-university-of-amsterdam-to-investigate-the-effectiveness-of-charities,,NL
the-mission-motor,The Mission Motor,Stichting The Mission Motor (RSIN 864226597),Leiden,52.16,4.497,Animal welfare & food systems,1,ngo,2022,Nicoll Peracha (Executive Director); Lauren Mee (board chair),https://themissionmotor.org/,,"EA Animal Welfare Fund, Charity Entrepreneurship, Hive, Effektiv Spenden, Craigslist Charitable Fund","Dutch foundation that trains and supports animal-advocacy organisations in monitoring, evaluation and learning (MEL), helping them collect and use data to increase their impact. Works with groups campaigning to end intensive animal farming and reduce wild animal suffering.",,medium,"Registered seat Vollersgracht 2F, 2312 VL Leiden per KVK-derived aggregator (Oozo, Aug 2026); earlier registration was in Maassluis and the ED works from Drenthe — confirm current address via a KVK extract",https://themissionmotor.org/; https://themissionmotor.org/about-us/; https://www.oozo.nl/bedrijven/maassluis/dijkpolder/vertobuurt/2708048/stichting-the-mission-motor,,NL
goal-3,GOAL 3,,'s-Hertogenbosch,51.6978,5.3037,Global health & development,2,social_enterprise,2023,,https://www.goal3.org/,https://goal-3.breezy.hr/,"Founders Pledge and community (€260k), Achmea Foundation impact fund, grants","Dutch organisation building IMPALA, a low-cost connected patient-monitoring platform for hospitals in low- and middle-income countries, combining multi-patient monitoring, diagnostics and data intelligence. Structured as a social enterprise plus a foundation (2023) that funds monitors for hospitals that cannot afford them. Received a €260k grant from Founders Pledge and its community.",,high,Founding year of the social enterprise (the 2023 date is the foundation); current headcount,https://www.goal3.org/foundation; https://www.goal3.org/article/impala-system-secures-260k-grant-from-founders-pledge-and-community,,NL
sain-groningen,SAIN Groningen,"AISIG (AI Safety Initiative Groningen, until 2026)",Groningen,53.2194,6.5665,AI safety & governance; Community building,1,community,2023,,https://safeainetherlands.org/,,,"Groningen chapter of Safe AI Netherlands, and the group SAIN grew out of. Founded in 2023 as the AI Safety Initiative Groningen (AISIG) and rebranded in 2026. Runs AI safety courses, research discussion groups, hackathons and speaker events.",,high,Current chapter leads; whether the group is university-affiliated,https://www.aisig.org/; https://safeainetherlands.org/about,safe-ai-netherlands:chapter_of,NL
sain-utrecht,SAIN Utrecht,,Utrecht,52.0907,5.1214,AI safety & governance; Community building,1,community,,,https://safeainetherlands.org/,,,"Utrecht chapter of Safe AI Netherlands. Runs local AI safety courses, events and community building, using the national organisation's shared resources and legal infrastructure.",,medium,"Founding date, chapter leads, and activity level — the chapter is listed nationally but has little independent web presence",https://safeainetherlands.org/; https://safeainetherlands.org/about,safe-ai-netherlands:chapter_of,NL
